domain,validated,confidence,entity_type,evidence_pages,supporting_snippets,reasoning
orangemali.com,True,0.9,provider,https://www.orangemali.com/fr/prt-smartphone-et-tablette.html | https://www.orangemali.com/fr/pret-smartphone-et-tablette/iphone-13-mini-128gb.html,Achetez vos smartphones et tablettes à crédit sur plusieurs 12 mois et bénéficiez du meilleur de l'internet autres services associés. Offre disponible uniquement chez Orange Mali | Mensualité -- Select Mensualité -- 12 mois Couleur : Capacité 128Go L'essentiel ... Découvrez votre nouveau superpouvoir iPhone 13 mini.,"The main financing offer page explicitly mentions credit purchase of smartphones and tablets over 12 months directly from Orange Mali, and product pages show monthly installment options for specific devices. This is solid evidence that Orange Mali is a direct provider of smartphone financing, not just an affiliate or partner."
bdm-sa.com,True,0.7,unknown,https://www.bdm-sa.com/malien-residant-a-l-etranger-credit-personnel | https://www.bdm-sa.com/credit-immediat-bdm-sa-particulier,"Le crédit personnel est destiné à financer tout type de dépenses, sans aucune restriction quant à l'objet du crédit. Le client a le choix entre plusieurs formules : Le Crédit à la Consommation Le Crédit Équipement Le Crédit Auto Prêt Scolarité Prêt Tabaski | En tant que client BDM SA, obtenez jusqu'à 1 000 000 FCFA de crédit remboursable en 10 men­sualités.","No explicit mention or evidence that La Banque de Développement du Mali directly provides or finances smartphones specifically, nor that they sell or lease smartphones on installments. The bank offers general credit and personal loans with installment repayment options but without direct linkage to smartphone financing. Therefore, under the given rules, the company cannot be labeled as a provider, aggregator, or partner_only. Given these data, the appropriate entity type is 'unknown'."
ml.coinafrique.com,True,0.9,aggregator,https://ml.coinafrique.com/categorie/telephones-et-tablettes/samsung-galaxy | https://ml.coinafrique.com/categorie/telephones-et-tablettes/tecno | https://ml.coinafrique.com/annonce/telephones-et-tablettes/iphone-12-3009809,- Téléphones & Tablettes neufs et occasions - CoinAfrique - Mali Retrouvez toutes les annonces undefined neufs et occasions sur CoinAfrique. Achetez et vendez votre undefined près de chez vous. | - Téléphones & Tablettes neufs et occasions - CoinAfrique - Mali Retrouvez toutes les annonces undefined neufs et occasions sur CoinAfrique. Achetez et vendez votre undefined près de chez vous. | Téléphones & Tablettes iPhone 12 neufs et occasions au Mali - CoinAfrique Mali - 3009809 Retrouvez toutes les annonces au Mali comme Téléphones & Tablettes iPhone 12 neufs et occasions au Mali - CoinAfrique Mali,"All retrieved pages and listings indicate that Téléphones & Tablettes on ml.coinafrique.com functions as a marketplace or aggregator site listing phones for sale. There is no clear evidence of the company directly providing smartphone financing, leasing, or underwriting installment plans. Hence, based on the given evidence and rules, the entity type is aggregator."
rebtel.com,False,0.7,unknown,https://www.rebtel.com/fr/campagne/cms/mali-recharger,"Les recharges mobiles permettent d'envoyer des crédits à votre famille et à vos amis au Mali. Les crédits sont envoyés vers tous les opérateurs au Mali (Orange, Sotelma-Malitel) et sont reçus instantanément afin que votre destinataire puisse passer des appels, envoyer des SMS et acheter des données pour surfer en ligne.","The retrieved page only mentions mobile credit top-ups and does not provide any evidence that Rebtel directly offers, finances, underwrites, leases, or sells smartphones on installments, nor that it acts as an aggregator or partner for smartphone financing services. Therefore, the entity type is unknown due to lack of sufficient evidence."
seagm.com,False,0.9,unknown,https://www.seagm.com/fr/mobile-recharge/Mali,"Rechargez vos crédits de téléphone portable dans Mali , de n'importe où, à n'importe qui.","The retrieved page content focuses exclusively on mobile phone credit recharge services and does not provide any evidence that Seagm directly offers smartphone financing or related installment services. Therefore, based on the provided information, the entity type cannot be provider, aggregator, or partner_only, and is best classified as unknown for the target category."
banqueatlantique.net,False,0.8,unknown,https://www.banqueatlantique.net/bf/particuliers/anet-bf | https://www.banqueatlantique.net/bf/particuliers/credits-conso-bf | https://www.banqueatlantique.net/atlantique-mobile,"Financement de Projets Projets Domestiques Découvert sur Compte Avance sur Salaire Avance sur Rappel Prêt scolaire Crédits Conso Prêt spécial fête Prêt Ramadan Crédit Express 0% Projets Immobiliers Crédit Immobilier | Le capital est remboursé par des mensualités constantes La durée de remboursement peut être choisie librement de sorte que l’échéance mensuelle soit adaptée à votre budget | Pour des raisons de sécurité, vous ne pouvez pas utiliser simultanément l’application mobile sur plusieurs téléphones mobiles.","The retrieved pages mention various financing products including consumer credits and loans for projects, but there is no direct evidence that Banqueatlantique directly provides, finances, underwrites, leases, or sells smartphone financing specifically. The financing products appear generic or for other purposes like project or consumer credit, and there is no explicit mention of smartphone-specific financing or installment sales. Thus, the entity type is classified as unknown and validation is false due to insufficient evidence."
bamada.net,False,0.7,unknown,https://bamada.net/moov-africa-malitel-innove-lapplication-my-moov-pour-gerer-en-toute-simplicite-votre-compte-mobile-depuis-votre-smartphone-ou-tablette | https://bamada.net/malitel-douze-nouvelles-offres-pour-satisfaire-la-clientele | https://bamada.net/transfert-monetaire-moov-money-innove-encore-au-benefice-de-ses-clients,"Moov Africa Malitel innove : L’application My Moov pour gérer en toute simplicité votre compte mobile depuis votre Smartphone ou tablette | Bamada.net | Elle est disponible en application mobile et téléchargeable sur www.malitelgames.sotelma.ml sur Smartphones et tablettes Androïd. En plus de proposer ce service en exclusivité sur le marché, Malitel donne aux clients la possibilité de payer dans les jeux avec leur crédit téléphonique. | Mobimoney solution de transfert d’argent et de paiement mobile ne cesse d’évoluer et d’innover avec pour seul objectif, la satisfaction de ses clients.","None of the provided pages include any explicit evidence that Bamada or its domain bamada.net directly offers financing, installment sales, leasing, underwriting, or selling of smartphones on credit. The content mainly references mobile applications, mobile account management, mobile gaming payments, or mobile money transfers, none of which meet the task criteria for 'provider' or classify the company as an aggregator or partner_only. Therefore, due to lack of relevant evidence, the classification is 'unknown' and validation is false."
app.talk-home.com,False,0.95,unknown,https://app.talk-home.com/mobile-top-up/mali/malitel | https://cards.talk-home.com/international-calling-rates/mali-calling-card,"Send mobile top-ups to any Mali phone number in Mali instantly with Talk Home App. | Make Cheap Phone Calls to Mali | Calling Cards for Mali. Lowest rates and instant access, no Internet, no account or contract needed.","Based on the retrieved pages, the company appears to provide mobile top-up and international calling card services. There is no direct evidence that APP Talk Home offers, finances, underwrites, leases, or sells smartphone financing services directly, nor mentions partners providing such services. Thus, with the given evidence, the correct classification is 'unknown' with validation set to false."
watra.org,False,0.2,unknown,https://watra.org/mali,"Mobile Connectivity: The prevalence of mobile phone usage, especially smartphones, reflects the accessibility of digital services. The mobile penetration rate was 113.8% in 2020, with 23.1 million active mobile subscribers, according to the AMRTP. The smartphone penetration rate was 40% in 2020, with 8.1 million smartphone users, according to the G","The retrieved page from watra.org only contains statistical information related to mobile and smartphone usage but no indication that the company ARTAO or the domain watra.org directly provides smartphone financing services. There is no mention of financing, installment plans, leasing, underwriting, or selling smartphones on installments. Hence, the entity_type is unknown due to insufficient evidence."
maliactu.net,False,0.2,unknown,https://maliactu.net/moov-money-malitel-rend-les-transferts-gratuits-une-revolution-pour-ses-abonnes,"MaliActu.net est le premier site d'information en ligne du Mali. Politique, societe, economie, sport — toute l'actualite malienne en temps reel.","The only retrieved page describes the site as a general news and information platform with no evidence that the company or domain directly offers smartphone financing or related services. Therefore, the entity type is classified as unknown with low confidence due to lack of relevant information."
